Name,Total invested,Current valuation,Net profit,Absolute profit,Total installments,Internal rate of return,SIP start date,SIP end date
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 420,004.02","₹ 90,004.02",27.27%,66,8.75%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 150,000.00","₹ 156,982.53","₹ 6,982.53",4.66%,30,3.63%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 334,621.69","₹ 4,621.69",1.40%,66,0.50%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 329,930.01",₹ -69.99,-0.02%,66,-0.01%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Fortnightly,"₹ 325,000.00","₹ 324,956.32",₹ -43.68,-0.01%,65,0.00%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 185,000.00","₹ 182,107.16","₹ -2,892.84",-1.56%,37,-0.63%,02-02-2013,25-07-2018
DHFL Pramerica Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Annual,"₹ 180,000.00","₹ 184,481.77","₹ 4,481.77",2.49%,36,1.44%,02-02-2013,25-07-2018
DHFL Pramerica Medium Term Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 90,000.00","₹ 89,675.67",₹ -324.33,-0.36%,18,-0.47%,02-02-2013,25-07-2018
DHFL Pramerica Medium Term Fund - Direct Plan - Debt - Income : Growth,"₹ 265,000.00","₹ 317,109.81","₹ 52,109.81",19.66%,53,8.15%,02-02-2013,25-07-2018
DHFL Pramerica Medium Term Fund - Direct Plan - Debt - Income : Dividend,"₹ 265,000.00","₹ 288,522.43","₹ 23,522.43",8.88%,53,3.84%,02-02-2013,25-07-2018
DHFL Pramerica Medium Term Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 170,000.00","₹ 166,609.23","₹ -3,390.77",-1.99%,34,-1.40%,02-02-2013,25-07-2018
DHFL Pramerica Premier Bond Fund - Direct Plan - Debt - Income : Dividend-Annual,"₹ 310,000.00","₹ 323,387.66","₹ 13,387.66",4.32%,62,1.63%,02-02-2013,25-07-2018
DHFL Pramerica Premier Bond Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 300,000.00","₹ 297,088.38","₹ -2,911.62",-0.97%,60,-0.35%,02-02-2013,25-07-2018
DHFL Pramerica Premier Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 404,722.41","₹ 74,722.41",22.64%,66,7.40%,02-02-2013,25-07-2018
DHFL Pramerica Premier Bond Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 330,000.00","₹ 333,690.06","₹ 3,690.06",1.12%,66,0.40%,02-02-2013,25-07-2018
DHFL Pramerica Short Maturity Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 419,824.25","₹ 89,824.25",27.22%,66,8.74%,02-02-2013,25-07-2018
DHFL Pramerica Short Maturity Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 210,000.00","₹ 208,564.73","₹ -1,435.27",-0.68%,42,-0.28%,02-02-2013,25-07-2018
DHFL Pramerica Short Maturity Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 320,000.00","₹ 332,363.58","₹ 12,363.58",3.86%,64,1.41%,02-02-2013,25-07-2018
DHFL Pramerica Short Maturity Fund - Direct Plan - Debt - Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 330,102.32",₹ 102.32,0.03%,66,0.01%,02-02-2013,25-07-2018
DHFL Pramerica Short Maturity Fund - Direct Plan - Debt - Short Term : Dividend-Annual,"₹ 25,000.00","₹ 25,173.62",₹ 173.62,0.69%,5,3.28%,02-02-2013,26-12-2017
DHFL Pramerica Strategic Debt Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 135,000.00","₹ 132,200.49","₹ -2,799.51",-2.07%,27,-1.83%,02-02-2013,25-07-2018
DHFL Pramerica Strategic Debt Fund - Direct Plan - Debt - Income : Growth,"₹ 275,000.00","₹ 329,163.41","₹ 54,163.41",19.70%,55,7.86%,02-02-2013,25-07-2018
DHFL Pramerica Strategic Debt Fund - Direct Plan - Debt - Income : Dividend,"₹ 275,000.00","₹ 312,556.68","₹ 37,556.68",13.66%,55,5.58%,02-02-2013,25-07-2018
DHFL Pramerica Strategic Debt Fund - Direct Plan - Debt - Income : Dividend-Quarterly,"₹ 275,000.00","₹ 276,348.99","₹ 1,348.99",0.49%,55,0.21%,02-02-2013,25-07-2018
DHFL Pramerica Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 280,000.00","₹ 281,282.45","₹ 1,282.45",0.46%,56,0.19%,02-02-2013,25-07-2018
DHFL Pramerica Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 414,276.02","₹ 84,276.02",25.54%,66,8.25%,02-02-2013,25-07-2018
DHFL Pramerica Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 336,922.06","₹ 6,922.06",2.10%,66,0.75%,02-02-2013,25-07-2018
DHFL Pramerica Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 55,000.00","₹ 64,321.56","₹ 9,321.56",16.95%,11,5.09%,02-02-2013,25-07-2018
DHFL Pramerica Ultra Short Term Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Weekly,"₹ 330,000.00","₹ 329,943.91",₹ -56.09,-0.02%,66,-0.01%,02-02-2013,25-07-2018
DHFL Pramerica Diversified Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 205,000.00","₹ 213,649.12","₹ 8,649.12",4.22%,41,2.41%,02-02-2013,25-07-2018
DHFL Pramerica Diversified Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 205,000.00","₹ 253,123.33","₹ 48,123.33",23.47%,41,12.55%,02-02-2013,25-07-2018
DHFL Pramerica Euro Equity Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 280,000.00","₹ 327,904.64","₹ 47,904.64",17.11%,56,6.77%,02-02-2013,25-07-2018
DHFL Pramerica Euro Equity Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 397,427.51","₹ 67,427.51",20.43%,66,6.74%,02-02-2013,25-07-2018
DHFL Pramerica Global Agribusiness Offshore Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 382,975.24","₹ 52,975.24",16.05%,66,5.39%,02-02-2013,25-07-2018
DHFL Pramerica Global Agribusiness Offshore Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 382,830.02","₹ 52,830.02",16.01%,66,5.38%,02-02-2013,25-07-2018
DHFL Pramerica Large Cap Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 346,698.92","₹ 16,698.92",5.06%,66,1.78%,02-02-2013,25-07-2018
DHFL Pramerica Large Cap Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 501,176.24","₹ 171,176.24",51.87%,66,15.23%,02-02-2013,25-07-2018
DHFL Pramerica Midcap Opportunities Fund - Direct Plan - Equity - Midcap : Dividend,"₹ 280,000.00","₹ 341,659.10","₹ 61,659.10",22.02%,56,8.55%,02-02-2013,25-07-2018
DHFL Pramerica Midcap Opportunities Fund - Direct Plan - Equity - Midcap : Growth,"₹ 280,000.00","₹ 365,663.32","₹ 85,663.32",30.59%,56,11.51%,02-02-2013,25-07-2018
DHFL Pramerica Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 160,000.00","₹ 162,556.72","₹ 2,556.72",1.60%,32,1.18%,02-02-2013,25-07-2018
DHFL Pramerica Long Term Equity Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 160,000.00","₹ 197,292.94","₹ 37,292.94",23.31%,32,16.21%,02-02-2013,25-07-2018
DSP BlackRock 10Y G-Sec Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 235,000.00","₹ 263,081.31","₹ 28,081.31",11.95%,47,5.77%,02-02-2013,25-07-2018
DSP BlackRock 10Y G-Sec Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Monthly,"₹ 235,000.00","₹ 232,462.27","₹ -2,537.73",-1.08%,47,-0.55%,02-02-2013,25-07-2018
DSP BlackRock 10Y G-Sec Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 235,000.00","₹ 228,832.89","₹ -6,167.11",-2.62%,47,-1.34%,02-02-2013,25-07-2018
DSP BlackRock 10Y G-Sec Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Quarterly,"₹ 225,000.00","₹ 220,799.86","₹ -4,200.14",-1.87%,45,-0.99%,02-02-2013,25-07-2018
DSP BlackRock Banking & PSU Debt Fund - Direct Plan - Debt - Short Term : Dividend-Quarterly,"₹ 295,000.00","₹ 294,265.68",₹ -734.32,-0.25%,59,-0.10%,02-02-2013,25-07-2018
DSP BlackRock Banking & PSU Debt Fund - Direct Plan - Debt - Short Term : Growth,"₹ 295,000.00","₹ 356,293.40","₹ 61,293.40",20.78%,59,7.68%,02-02-2013,25-07-2018
DSP BlackRock Banking & PSU Debt Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 295,000.00","₹ 289,706.47","₹ -5,293.53",-1.79%,59,-0.73%,02-02-2013,25-07-2018
DSP BlackRock Banking & PSU Debt Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 295,000.00","₹ 296,840.05","₹ 1,840.05",0.62%,59,0.25%,02-02-2013,25-07-2018
DSP BlackRock Bond Fund - Direct Plan - Debt - Income : Dividend-Monthly,"₹ 330,000.00","₹ 335,074.21","₹ 5,074.21",1.54%,66,0.55%,02-02-2013,25-07-2018
DSP BlackRock Bond Fund - Direct Plan - Debt - Income : Dividend,"₹ 330,000.00","₹ 327,062.58","₹ -2,937.42",-0.89%,66,-0.32%,02-02-2013,25-07-2018
DSP BlackRock Bond Fund - Direct Plan - Debt - Income : Growth,"₹ 330,000.00","₹ 414,821.61","₹ 84,821.61",25.70%,66,8.30%,02-02-2013,25-07-2018
DSP BlackRock Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend,"₹ 330,000.00","₹ 329,508.79",₹ -491.21,-0.15%,66,-0.05%,02-02-2013,25-07-2018
DSP BlackRock Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Monthly,"₹ 330,000.00","₹ 338,463.05","₹ 8,463.05",2.56%,66,0.91%,02-02-2013,25-07-2018
DSP BlackRock Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Growth,"₹ 330,000.00","₹ 419,691.22","₹ 89,691.22",27.18%,66,8.72%,02-02-2013,25-07-2018
DSP BlackRock Credit Risk Fund - Direct Plan - Debt - Credit Opportunities : Dividend-Quarterly,"₹ 330,000.00","₹ 337,815.62","₹ 7,815.62",2.37%,66,0.85%,02-02-2013,25-07-2018
DSP BlackRock Government Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend,"₹ 330,000.00","₹ 334,311.09","₹ 4,311.09",1.31%,66,0.47%,02-02-2013,25-07-2018
DSP BlackRock Government Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Dividend-Monthly,"₹ 330,000.00","₹ 334,573.43","₹ 4,573.43",1.39%,66,0.50%,02-02-2013,25-07-2018
DSP BlackRock Government Securities Fund - Direct Plan - Debt - Gilt Medium & Long Term : Growth,"₹ 330,000.00","₹ 405,189.52","₹ 75,189.52",22.78%,66,7.44%,02-02-2013,25-07-2018
DSP BlackRock Liquidity Fund - Direct Plan - Debt - Liquid : Growth,"₹ 330,000.00","₹ 407,751.24","₹ 77,751.24",23.56%,66,7.67%,02-02-2013,25-07-2018
DSP BlackRock Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 205,000.00","₹ 232,768.27","₹ 27,768.27",13.55%,41,7.48%,02-02-2013,25-07-2018
DSP BlackRock Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Quarterly,"₹ 205,000.00","₹ 206,478.36","₹ 1,478.36",0.72%,41,0.42%,02-02-2013,25-07-2018
DSP BlackRock Low Duration Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 205,000.00","₹ 208,780.06","₹ 3,780.06",1.84%,41,1.06%,02-02-2013,25-07-2018
DSP BlackRock Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 337,575.94","₹ 7,575.94",2.30%,66,0.82%,02-02-2013,25-07-2018
DSP BlackRock Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Growth,"₹ 330,000.00","₹ 410,295.47","₹ 80,295.47",24.33%,66,7.90%,02-02-2013,25-07-2018
DSP BlackRock Money Manager Fund - Direct Plan - Debt - Ultra Short Term : Dividend,"₹ 330,000.00","₹ 332,346.97","₹ 2,346.97",0.71%,66,0.26%,02-02-2013,25-07-2018
DSP BlackRock Savings Fund - Direct Plan - Debt - Gilt Short Term : Dividend,"₹ 330,000.00","₹ 336,794.87","₹ 6,794.87",2.06%,66,0.74%,02-02-2013,25-07-2018
DSP BlackRock Savings Fund - Direct Plan - Debt - Gilt Short Term : Growth,"₹ 330,000.00","₹ 401,477.31","₹ 71,477.31",21.66%,66,7.11%,02-02-2013,25-07-2018
DSP BlackRock Savings Fund - Direct Plan - Debt - Gilt Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 337,590.24","₹ 7,590.24",2.30%,66,0.82%,02-02-2013,25-07-2018
DSP BlackRock Short Term Fund - Direct Plan - Debt - Short Term : Dividend-Monthly,"₹ 330,000.00","₹ 337,525.85","₹ 7,525.85",2.28%,66,0.81%,02-02-2013,25-07-2018
DSP BlackRock Short Term Fund - Direct Plan - Debt - Short Term : Dividend,"₹ 330,000.00","₹ 328,518.90","₹ -1,481.10",-0.45%,66,-0.16%,02-02-2013,25-07-2018
DSP BlackRock Short Term Fund - Direct Plan - Debt - Short Term : Growth,"₹ 330,000.00","₹ 410,605.15","₹ 80,605.15",24.43%,66,7.93%,02-02-2013,25-07-2018
DSP BlackRock Strategic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend,"₹ 330,000.00","₹ 387,795.40","₹ 57,795.40",17.51%,66,5.85%,02-02-2013,25-07-2018
DSP BlackRock Strategic Bond Fund - Direct Plan - Debt - Dynamic Bond : Dividend-Monthly,"₹ 330,000.00","₹ 329,212.78",₹ -787.22,-0.24%,66,-0.09%,02-02-2013,25-07-2018
DSP BlackRock Strategic Bond Fund - Direct Plan - Debt - Dynamic Bond : Growth,"₹ 330,000.00","₹ 398,869.34","₹ 68,869.34",20.87%,66,6.87%,02-02-2013,25-07-2018
DSP BlackRock Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 35,000.00","₹ 35,325.00",₹ 325.00,0.93%,7,3.14%,02-02-2013,25-07-2018
DSP BlackRock Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend,"₹ 35,000.00","₹ 35,592.53",₹ 592.53,1.69%,7,5.76%,02-02-2013,25-07-2018
DSP BlackRock Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 35,000.00","₹ 35,635.63",₹ 635.63,1.82%,7,6.19%,02-02-2013,25-07-2018
DSP BlackRock Dynamic Asset Allocation Fund - Direct Plan - Hybrid - Asset Allocation : Growth,"₹ 270,000.00","₹ 325,430.68","₹ 55,430.68",20.53%,54,8.32%,02-02-2013,25-07-2018
DSP BlackRock Dynamic Asset Allocation Fund - Direct Plan - Hybrid - Asset Allocation : Dividend,"₹ 270,000.00","₹ 274,759.14","₹ 4,759.14",1.76%,54,0.77%,02-02-2013,25-07-2018
DSP BlackRock Equity & Bond Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 503,812.11","₹ 173,812.11",52.67%,66,15.43%,02-02-2013,25-07-2018
DSP BlackRock Equity & Bond Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 443,879.03","₹ 113,879.03",34.51%,66,10.77%,02-02-2013,25-07-2018
DSP BlackRock Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 145,000.00","₹ 149,153.54","₹ 4,153.54",2.86%,29,2.32%,02-02-2013,25-07-2018
DSP BlackRock Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Quarterly,"₹ 145,000.00","₹ 155,917.61","₹ 10,917.61",7.53%,29,6.04%,02-02-2013,25-07-2018
DSP BlackRock Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 145,000.00","₹ 155,573.07","₹ 10,573.07",7.29%,29,5.85%,02-02-2013,25-07-2018
DSP BlackRock Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 145,000.00","₹ 160,970.92","₹ 15,970.92",11.01%,29,8.76%,02-02-2013,25-07-2018
DSP BlackRock Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Monthly,"₹ 330,000.00","₹ 341,140.52","₹ 11,140.52",3.38%,66,1.20%,02-02-2013,25-07-2018
DSP BlackRock Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Dividend-Quarterly,"₹ 330,000.00","₹ 338,868.92","₹ 8,868.92",2.69%,66,0.96%,02-02-2013,25-07-2018
DSP BlackRock Regular Savings Fund - Direct Plan - Hybrid - Debt-oriented Conservative : Growth,"₹ 330,000.00","₹ 425,149.80","₹ 95,149.80",28.83%,66,9.20%,02-02-2013,25-07-2018
DSP BlackRock Equal Nifty 50 Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 50,000.00","₹ 50,500.61",₹ 500.61,1.00%,10,2.35%,02-02-2013,25-07-2018
DSP BlackRock Equal Nifty 50 Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 50,000.00","₹ 50,500.61",₹ 500.61,1.00%,10,2.35%,02-02-2013,25-07-2018
DSP BlackRock Equity Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 340,682.04","₹ 10,682.04",3.24%,66,1.15%,02-02-2013,25-07-2018
DSP BlackRock Equity Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 519,201.44","₹ 189,201.44",57.33%,66,16.54%,02-02-2013,25-07-2018
DSP BlackRock Equity Opportunities Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 468,944.79","₹ 138,944.79",42.10%,66,12.79%,02-02-2013,25-07-2018
DSP BlackRock Equity Opportunities Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 532,652.87","₹ 202,652.87",61.41%,66,17.49%,02-02-2013,25-07-2018
DSP BlackRock Focus Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 507,421.46","₹ 177,421.46",53.76%,66,15.69%,02-02-2013,25-07-2018
DSP BlackRock Focus Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 507,422.29","₹ 177,422.29",53.76%,66,15.69%,02-02-2013,25-07-2018
DSP BlackRock Global Allocation Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 240,000.00","₹ 274,186.12","₹ 34,186.12",14.24%,48,6.68%,02-02-2013,25-07-2018
DSP BlackRock Global Allocation Fund - Direct Plan - Equity - International Funds : Growth,"₹ 240,000.00","₹ 274,186.12","₹ 34,186.12",14.24%,48,6.68%,02-02-2013,25-07-2018
DSP BlackRock Mid Cap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 589,448.02","₹ 259,448.02",78.62%,66,21.26%,02-02-2013,25-07-2018
DSP BlackRock Mid Cap Fund - Direct Plan - Equity - Midcap : Dividend,"₹ 330,000.00","₹ 589,414.86","₹ 259,414.86",78.61%,66,21.25%,02-02-2013,25-07-2018
DSP BlackRock Natural Resources and New Energy Fund - Direct Plan - Equity - Others : Growth,"₹ 330,000.00","₹ 591,893.57","₹ 261,893.57",79.36%,66,21.41%,02-02-2013,25-07-2018
DSP BlackRock Natural Resources and New Energy Fund - Direct Plan - Equity - Others : Dividend,"₹ 330,000.00","₹ 436,339.01","₹ 106,339.01",32.22%,66,10.15%,02-02-2013,25-07-2018
DSP BlackRock Tiger Fund - Direct Plan - Equity - Infrastructure : Dividend,"₹ 330,000.00","₹ 434,685.47","₹ 104,685.47",31.72%,66,10.01%,02-02-2013,25-07-2018
DSP BlackRock Tiger Fund - Direct Plan - Equity - Infrastructure : Growth,"₹ 330,000.00","₹ 481,997.42","₹ 151,997.42",46.06%,66,13.80%,02-02-2013,25-07-2018
DSP BlackRock Top 100 Equity Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 352,253.31","₹ 22,253.31",6.74%,66,2.36%,02-02-2013,25-07-2018
DSP BlackRock Top 100 Equity Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 475,722.40","₹ 145,722.40",44.16%,66,13.31%,02-02-2013,25-07-2018
DSP BlackRock US Flexible Equity Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 502,338.19","₹ 172,338.19",52.22%,66,15.32%,02-02-2013,25-07-2018
DSP BlackRock US Flexible Equity Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 489,810.53","₹ 159,810.53",48.43%,66,14.39%,02-02-2013,25-07-2018
DSP BlackRock World Agriculture Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 364,828.00","₹ 34,828.00",10.55%,66,3.63%,02-02-2013,25-07-2018
DSP BlackRock World Agriculture Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 356,324.47","₹ 26,324.47",7.98%,66,2.78%,02-02-2013,25-07-2018
DSP BlackRock World Energy Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 361,695.89","₹ 31,695.89",9.60%,66,3.32%,02-02-2013,25-07-2018
DSP BlackRock World Energy Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 375,446.45","₹ 45,446.45",13.77%,66,4.67%,02-02-2013,25-07-2018
DSP BlackRock World Gold Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 327,421.56","₹ -2,578.44",-0.78%,66,-0.28%,02-02-2013,25-07-2018
DSP BlackRock World Gold Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 327,428.04","₹ -2,571.96",-0.78%,66,-0.28%,02-02-2013,25-07-2018
DSP BlackRock World Mining Fund - Direct Plan - Equity - International Funds : Dividend,"₹ 330,000.00","₹ 393,774.71","₹ 63,774.71",19.33%,66,6.40%,02-02-2013,25-07-2018
DSP BlackRock World Mining Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 393,774.71","₹ 63,774.71",19.33%,66,6.40%,02-02-2013,25-07-2018
DSP BlackRock Tax Saver Fund - Direct Plan - Equity - Tax Planning : Dividend,"₹ 330,000.00","₹ 534,427.42","₹ 204,427.42",61.95%,66,17.61%,02-02-2013,25-07-2018
DSP BlackRock Tax Saver Fund - Direct Plan - Equity - Tax Planning : Growth,"₹ 330,000.00","₹ 534,461.60","₹ 204,461.60",61.96%,66,17.61%,02-02-2013,25-07-2018
Edelweiss Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend-Monthly,"₹ 70,000.00","₹ 69,661.21",₹ -338.79,-0.48%,14,-0.81%,02-02-2013,25-07-2018
Edelweiss Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Dividend,"₹ 250,000.00","₹ 254,653.61","₹ 4,653.61",1.86%,50,0.88%,02-02-2013,25-07-2018
Edelweiss Arbitrage Fund - Direct Plan - Hybrid - Arbitrage : Growth,"₹ 250,000.00","₹ 289,510.47","₹ 39,510.47",15.80%,50,7.06%,02-02-2013,25-07-2018
Edelweiss Balanced Advantage Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 60,000.00","₹ 59,746.05",₹ -253.95,-0.42%,12,-0.82%,02-02-2013,25-07-2018
Edelweiss Balanced Advantage Fund - Direct Plan - Hybrid - Equity Oriented : Growth,"₹ 330,000.00","₹ 458,328.37","₹ 128,328.37",38.89%,66,11.95%,02-02-2013,25-07-2018
Edelweiss Balanced Advantage Fund - Direct Plan - Hybrid - Equity Oriented : Dividend,"₹ 330,000.00","₹ 382,627.10","₹ 52,627.10",15.95%,66,5.36%,02-02-2013,25-07-2018
Edelweiss Equity Savings Fund - Direct Plan - Hybrid - Equity Oriented : Dividend-Monthly,"₹ 45,000.00","₹ 45,434.84",₹ 434.84,0.97%,9,2.49%,02-02-2013,25-07-2018
Edelweiss ASEAN Equity Off -shore Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 410,267.32","₹ 80,267.32",24.32%,66,7.90%,02-02-2013,25-07-2018
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Direct Plan - Equity - International Funds : Growth,"₹ 245,000.00","₹ 312,342.83","₹ 67,342.83",27.49%,49,12.03%,02-02-2013,25-07-2018
Edelweiss Europe Dynamic Equity Offshore Fund - Direct Plan - Equity - International Funds : Growth,"₹ 270,000.00","₹ 318,671.35","₹ 48,671.35",18.03%,54,7.38%,02-02-2013,25-07-2018
Edelweiss Greater China Equity Offshore Fund - Direct Plan - Equity - International Funds : Growth,"₹ 330,000.00","₹ 500,587.48","₹ 170,587.48",51.69%,66,15.19%,02-02-2013,25-07-2018
Edelweiss Large & Mid Cap Fund - Direct Plan - Equity - LargeCap : Growth,"₹ 330,000.00","₹ 522,293.89","₹ 192,293.89",58.27%,66,16.76%,02-02-2013,25-07-2018
Edelweiss Large & Mid Cap Fund - Direct Plan - Equity - LargeCap : Dividend,"₹ 330,000.00","₹ 383,460.80","₹ 53,460.80",16.20%,66,5.44%,02-02-2013,25-07-2018
Edelweiss Large Cap Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 441,516.83","₹ 111,516.83",33.79%,66,10.58%,02-02-2013,25-07-2018
Edelweiss Large Cap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 517,451.34","₹ 187,451.34",56.80%,66,16.41%,02-02-2013,25-07-2018
Edelweiss Mid Cap Fund - Direct Plan - Equity - Midcap : Growth,"₹ 330,000.00","₹ 603,624.84","₹ 273,624.84",82.92%,66,22.14%,02-02-2013,25-07-2018
Edelweiss Mid Cap Fund - Direct Plan - Equity - MidCap : Dividend,"₹ 330,000.00","₹ 527,289.22","₹ 197,289.22",59.78%,66,17.11%,02-02-2013,25-07-2018
Edelweiss Multi - Asset Allocation Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 330,000.00","₹ 469,566.83","₹ 139,566.83",42.29%,66,12.84%,02-02-2013,25-07-2018
Edelweiss Multi - Asset Allocation Fund - Direct Plan - Equity - MultiCap : Dividend,"₹ 330,000.00","₹ 412,109.16","₹ 82,109.16",24.88%,66,8.06%,02-02-2013,25-07-2018
Edelweiss Multi-Cap Fund - Direct Plan - Equity - MultiCap : Growth,"₹ 210,000.00","₹ 280,977.09","₹ 70,977.09",33.80%,42,17.06%,02-02-2013,25-07-2018
